,Unnamed: 0,id,sq_mt_built,n_rooms,n_bathrooms,rent_price,buy_price,buy_price_by_area,title,subtitle,raw_address,street_name,floor,is_floor_under,neighborhood_id,house_type_id,is_new_development,has_lift,is_exterior,energy_certificate,is_exact_address_hidden,is_renewal_needed
448,448.0,21294.0,68.0,3.0,1.0,485.0,88000.0,1294.0,Piso en venta en calle Moncada,"San Cristóbal, Madrid",Calle Moncada,Calle Moncada,1.0,False,,,False,False,True,no indicado,True,True
449,449.0,21293.0,75.0,3.0,1.0,625.0,120000.0,1600.0,Piso en venta en San Andrés,"Villaverde, Madrid",Paseo de la Castellana,Paseo de la Castellana,2.0,False,,,False,False,True,D,True,False
450,450.0,21292.0,100.0,3.0,2.0,1200.0,299995.0,3000.0,"Piso en venta en Urb. pryconsa, Los Rosales","Villaverde, Madrid",Urb. pryconsa,Urb. pryconsa,5.0,False,,,False,True,True,en trámite,True,False
451,451.0,21291.0,62.0,2.0,2.0,736.0,148000.0,2387.0,Piso en venta en calle del Talco,"San Andrés, Madrid",Calle del Talco,Calle del Talco,2.0,False,,,False,False,True,en trámite,True,False
452,452.0,21290.0,78.0,3.0,1.0,654.0,127000.0,1628.0,Piso en venta en San Andrés,"Villaverde, Madrid",Paseo de la Castellana,Paseo de la Castellana,1.0,False,,,False,True,False,en trámite,True,False
453,453.0,21289.0,83.0,3.0,1.0,762.0,155000.0,1867.0,Piso en venta en paseo de Alberto Palacios,"San Andrés, Madrid",Paseo de Alberto Palacios,Paseo de Alberto Palacios,3.0,False,,,False,False,True,en trámite,True,False
454,454.0,21288.0,68.0,3.0,1.0,526.0,97000.0,1426.0,Piso en venta en Butarque,"Villaverde, Madrid",Paseo de la Castellana,Paseo de la Castellana,2.0,False,,,False,False,True,en trámite,True,False
455,455.0,21287.0,76.0,3.0,1.0,574.0,108000.0,1421.0,"Piso en venta en calle de la del Manojo de Rosas, 49 -47","Los Ángeles, Madrid","Calle de la del Manojo de Rosas, 49 -47",Calle de la del Manojo de Rosas,1.0,False,,,False,True,True,F,False,False
456,456.0,21286.0,66.0,2.0,1.0,517.0,95000.0,1439.0,"Piso en venta en Urb. Periana, San Cristóbal","Villaverde, Madrid",Urb. Periana,Urb. Periana,,True,,,False,False,True,en trámite,True,True
457,457.0,21285.0,65.0,3.0,1.0,583.0,110000.0,1692.0,"Piso en venta en calle del Arroyo Bueno, 37","San Andrés, Madrid","Calle del Arroyo Bueno, 37",Calle del Arroyo Bueno,3.0,False,,,False,False,True,no indicado,False,True
458,458.0,21284.0,65.0,2.0,1.0,646.0,125000.0,1923.0,"Piso en venta en calle San Luciano, 9","Los Ángeles, Madrid","Calle San Luciano, 9",Calle San Luciano,8.0,False,,,False,True,True,no indicado,False,False
459,459.0,21283.0,70.0,2.0,2.0,904.0,196000.0,2800.0,"Piso en venta en calle de la Unanimidad, 55","Los Rosales, Madrid","Calle de la Unanimidad, 55",Calle de la Unanimidad,,True,,,False,False,True,E,False,False
460,460.0,21282.0,49.0,2.0,1.0,625.0,120000.0,2449.0,"Piso en venta en calle Huerta de Villaverde, 8","San Andrés, Madrid","Calle Huerta de Villaverde, 8",Calle Huerta de Villaverde,,True,,,False,False,True,D,False,False
461,461.0,21281.0,100.0,3.0,2.0,948.0,210000.0,2100.0,"Piso en venta en calle de la unanimidad, 45","Los Rosales, Madrid","Calle de la unanimidad, 45",Calle de la unanimidad,4.0,False,,,False,True,True,en trámite,False,False
462,462.0,21280.0,90.0,4.0,2.0,1009.0,230000.0,2556.0,"Piso en venta en calle del Consenso, 6","Los Rosales, Madrid","Calle del Consenso, 6",Calle del Consenso,,True,,,False,True,True,F,False,False
463,463.0,21279.0,65.0,3.0,1.0,573.0,107583.0,1655.0,"Piso en venta en calle de Domingo Párraga, 26","San Andrés, Madrid","Calle de Domingo Párraga, 26",Calle de Domingo Párraga,,True,,,False,False,True,en trámite,False,False
464,464.0,21278.0,68.0,2.0,1.0,625.0,120000.0,1765.0,"Piso en venta en calle Burjasot, 6","San Cristóbal, Madrid","Calle Burjasot, 6",Calle Burjasot,8.0,False,,,False,True,True,no indicado,False,False
465,465.0,21277.0,90.0,3.0,1.0,705.0,140000.0,1556.0,"Piso en venta en calle del Doctor Martín Arévalo, 26","San Andrés, Madrid","Calle del Doctor Martín Arévalo, 26",Calle del Doctor Martín Arévalo,1.0,False,,,False,False,True,no indicado,False,True
466,466.0,21276.0,55.0,2.0,1.0,686.0,135000.0,2455.0,"Piso en venta en avenida de la Verbena de la Paloma, 41","Los Ángeles, Madrid","Avenida de la Verbena de la Paloma, 41",Avenida de la Verbena de la Paloma,,True,,,False,True,True,en trámite,False,False
467,467.0,21275.0,70.0,2.0,1.0,650.0,126000.0,1800.0,"Piso en venta en avenida Real de Pinto, 56","San Andrés, Madrid","Avenida Real de Pinto, 56",Avenida Real de Pinto,3.0,False,,,False,False,True,en trámite,False,False
468,468.0,21274.0,123.0,4.0,2.0,979.0,220000.0,1789.0,"Piso en venta en camino Leganés, 25","San Andrés, Madrid","Camino Leganés, 25",Camino Leganés,3.0,False,,,False,False,True,F,False,False
469,469.0,21273.0,74.0,2.0,2.0,910.0,198000.0,2676.0,Piso en venta en Clara Schumann s/n,"Los Rosales, Madrid",Clara Schumann s/n,Paseo de la Castellana,2.0,False,,,False,True,True,D,False,False
470,470.0,21272.0,64.0,2.0,1.0,744.0,150000.0,2344.0,"Piso en venta en avenida de la Verbena de la Paloma, 26","Los Ángeles, Madrid","Avenida de la Verbena de la Paloma, 26",Avenida de la Verbena de la Paloma,2.0,False,,,False,False,True,no indicado,False,False
471,471.0,21271.0,80.0,3.0,2.0,780.0,160000.0,2000.0,"Dúplex en venta en calle Transversal Sexta, 1","San Andrés, Madrid","Calle Transversal Sexta, 1",Calle Transversal Sexta,,True,,,False,True,True,E,False,False
472,472.0,21270.0,113.0,3.0,2.0,1346.0,359900.0,3185.0,"Piso en venta en calle Augustóbriga, 9","Los Rosales, Madrid","Calle Augustóbriga, 9",Calle Augustóbriga,1.0,False,,,False,True,True,D,False,False
473,473.0,21269.0,89.0,3.0,2.0,830.0,174000.0,1955.0,"Piso en venta en calle Transversal Sexta, 3","San Andrés, Madrid","Calle Transversal Sexta, 3",Calle Transversal Sexta,4.0,False,,,False,True,True,E,False,False
474,474.0,21268.0,109.0,3.0,1.0,868.0,185000.0,1697.0,"Piso en venta en calle juan peñalver, 16","San Andrés, Madrid","Calle juan peñalver, 16",Calle juan peñalver,1.0,False,,,False,False,True,A,False,False
475,475.0,21267.0,120.0,3.0,1.0,851.0,180000.0,1500.0,"Piso en venta en calle Francisco Ordóñez, 5","San Andrés, Madrid","Calle Francisco Ordóñez, 5",Calle Francisco Ordóñez,4.0,False,,,False,False,True,E,False,True
476,476.0,21266.0,101.0,2.0,2.0,1052.0,245000.0,2426.0,"Piso en venta en calle Salsipuedes, 2","San Andrés, Madrid","Calle Salsipuedes, 2",Calle Salsipuedes,,True,,,False,True,True,no indicado,False,False
477,477.0,21265.0,75.0,2.0,1.0,728.0,146000.0,1947.0,Piso en venta en San Andrés,"Villaverde, Madrid",Paseo de la Castellana,Paseo de la Castellana,3.0,False,,,False,False,True,en trámite,True,False
478,478.0,21264.0,52.0,2.0,1.0,471.0,85000.0,1635.0,"Piso en venta en calle Santa Florencia, 21","Los Rosales, Madrid","Calle Santa Florencia, 21",Calle Santa Florencia,4.0,False,,,False,True,True,no indicado,False,False
479,479.0,21263.0,75.0,3.0,1.0,705.0,139900.0,1865.0,"Piso en venta en calle de Sáhara, 100","Los Rosales, Madrid","Calle de Sáhara, 100",Calle de Sáhara,,True,,,False,False,True,en trámite,False,False
480,480.0,21262.0,75.0,3.0,1.0,596.0,113000.0,1507.0,Piso en venta en calle Arechavaleta,"Los Ángeles, Madrid",Calle Arechavaleta,Calle Arechavaleta,4.0,False,,,False,False,True,en trámite,True,False
481,481.0,21261.0,30.0,1.0,1.0,408.0,72000.0,2400.0,Piso en venta en San Andrés,"Villaverde, Madrid",Paseo de la Castellana,Paseo de la Castellana,,True,,,False,False,True,en trámite,True,False
482,482.0,21260.0,54.0,3.0,1.0,503.0,91957.0,1703.0,Piso en venta en calle de Juan José Martínez Seco,"Los Rosales, Madrid",Calle de Juan José Martínez Seco,Calle de Juan José Martínez Seco,3.0,False,,,False,False,True,en trámite,True,False
483,483.0,21259.0,65.0,3.0,1.0,583.0,109900.0,1691.0,Piso en venta en carmen bordiu,"San Andrés, Madrid",carmen bordiu,carmen bordiu,3.0,False,,,False,False,True,en trámite,True,False
484,484.0,21258.0,65.0,2.0,1.0,561.0,105000.0,1615.0,Piso en venta en palomares,"San Andrés, Madrid",palomares,palomares,4.0,False,,,False,False,True,E,True,False
485,485.0,21257.0,60.0,2.0,1.0,398.0,70000.0,1167.0,"Piso en venta en calle Moncada, 99","San Cristóbal, Madrid","Calle Moncada, 99",Calle Moncada,,True,,,False,False,True,en trámite,False,False
486,486.0,21256.0,69.0,2.0,1.0,674.0,132000.0,1913.0,Piso en venta en GOMEZ ACEBO,"San Andrés, Madrid",GOMEZ ACEBO,GOMEZ ACEBO,,True,,,False,False,True,en trámite,True,False
487,487.0,21255.0,65.0,3.0,1.0,625.0,120000.0,1846.0,Piso en venta en calle de Beniferri,"San Cristóbal, Madrid",Calle de Beniferri,Calle de Beniferri,,True,,,False,True,True,en trámite,True,False
488,488.0,21254.0,90.0,3.0,1.0,777.0,159000.0,1767.0,Piso en venta en calle Doctor Criado,"San Andrés, Madrid",Calle Doctor Criado,Calle Doctor Criado,1.0,False,,,False,False,False,en trámite,True,False
489,489.0,21253.0,100.0,3.0,2.0,1009.0,230000.0,2300.0,"Piso en venta en calle del Doctor Martín Arévalo, 59","San Andrés, Madrid","Calle del Doctor Martín Arévalo, 59",Calle del Doctor Martín Arévalo,3.0,False,,,False,True,True,E,False,False
490,490.0,21252.0,62.0,2.0,1.0,508.0,93000.0,1500.0,Piso en venta en calle de Godella,"San Cristóbal, Madrid",Calle de Godella,Calle de Godella,1.0,False,,,False,False,True,E,True,False
491,491.0,21251.0,83.0,3.0,2.0,539.0,99900.0,1204.0,"Piso en venta en paseo de María Droc, 18","San Cristóbal, Madrid","Paseo de María Droc, 18",Paseo de María Droc,1.0,False,,,False,True,True,E,False,False
492,492.0,21250.0,81.0,3.0,1.0,609.0,116100.0,1433.0,"Piso en venta en calle Vicente Carballal, 9","Butarque, Madrid","Calle Vicente Carballal, 9",Calle Vicente Carballal,3.0,False,,,False,False,True,G,False,False
493,493.0,21249.0,65.0,3.0,1.0,625.0,120000.0,1846.0,Piso en venta en calle de Godella,"San Cristóbal, Madrid",Calle de Godella,Calle de Godella,2.0,False,,,False,False,True,en trámite,True,False
494,494.0,21248.0,60.0,2.0,1.0,698.0,138000.0,2300.0,"Piso en venta en paseo de Alberto Palacios, 68","San Andrés, Madrid","Paseo de Alberto Palacios, 68",Paseo de Alberto Palacios,3.0,False,,,False,False,True,A,False,False
495,495.0,21247.0,83.0,3.0,1.0,611.0,116675.0,1406.0,Piso en venta en JOSÉ DEL PINO,"Los Rosales, Madrid",JOSÉ DEL PINO,JOSÉ DEL PINO,1.0,False,,,False,False,True,en trámite,True,False
496,496.0,21246.0,76.0,2.0,1.0,581.0,109491.0,1441.0,Piso en venta en Paterna,"San Cristóbal, Madrid",Paterna,Paterna,2.0,False,,,False,True,True,en trámite,True,False
497,497.0,21245.0,95.0,4.0,1.0,698.0,138000.0,1453.0,Piso en venta en Los Rosales,"Villaverde, Madrid",Paseo de la Castellana,Paseo de la Castellana,4.0,False,,,False,False,True,en trámite,True,False
498,498.0,21244.0,80.0,2.0,2.0,1067.0,250000.0,3125.0,"Piso en venta en calle Euskalduna, 1","Butarque, Madrid","Calle Euskalduna, 1",Calle Euskalduna,1.0,False,,,False,True,True,A,False,False
499,499.0,21243.0,88.0,2.0,2.0,1210.0,304000.0,3455.0,"Piso en venta en calle Salsipuedes, 2","San Andrés, Madrid","Calle Salsipuedes, 2",Calle Salsipuedes,1.0,False,,,False,True,True,no indicado,False,False
500,500.0,21242.0,67.0,3.0,1.0,744.0,150000.0,2239.0,"Piso en venta en calle José del pino Jiménez, 11","San Andrés, Madrid","Calle José del pino Jiménez, 11",Calle José del pino Jiménez,1.0,False,,,False,False,True,no indicado,False,False
501,501.0,21241.0,90.0,3.0,1.0,942.0,208000.0,2311.0,"Piso en venta en calle de Anoeta, 42","Los Ángeles, Madrid","Calle de Anoeta, 42",Calle de Anoeta,1.0,False,,,False,True,True,no indicado,False,False
502,502.0,21240.0,75.0,3.0,1.0,604.0,114900.0,1532.0,Piso en venta en San Andrés,"Villaverde, Madrid",Paseo de la Castellana,Paseo de la Castellana,1.0,False,,,False,True,False,en trámite,True,False
503,503.0,21239.0,89.0,3.0,1.0,702.0,139000.0,1562.0,"Piso en venta en calle Diamante, 68","Los Rosales, Madrid","Calle Diamante, 68",Calle Diamante,,True,,,False,True,True,no indicado,False,True
504,504.0,21238.0,66.0,2.0,1.0,611.0,116600.0,1767.0,Piso en venta en Los Ángeles,"Villaverde, Madrid",Paseo de la Castellana,Paseo de la Castellana,1.0,False,,,False,True,True,en trámite,True,False
505,505.0,21237.0,94.0,3.0,1.0,939.0,207000.0,2202.0,Piso en venta en San Andrés,"Villaverde, Madrid",Paseo de la Castellana,Paseo de la Castellana,,True,,,False,True,True,en trámite,True,False
506,506.0,21236.0,85.0,2.0,2.0,851.0,180000.0,2118.0,Piso en venta en Butarque,"Villaverde, Madrid",Paseo de la Castellana,Paseo de la Castellana,3.0,False,,,False,True,True,no indicado,True,False
507,507.0,21235.0,68.0,2.0,1.0,939.0,207000.0,3044.0,"Piso en venta en calle Calcio, 20","Butarque, Madrid","Calle Calcio, 20",Calle Calcio,3.0,False,,,False,True,True,no indicado,False,False
508,508.0,21234.0,105.0,3.0,2.0,858.0,182260.0,1736.0,Piso en venta en azufre,"Los Rosales, Madrid",azufre,azufre,,True,,,False,False,True,en trámite,True,False
509,509.0,21233.0,85.0,3.0,1.0,777.0,159000.0,1871.0,"Piso en venta en calle San Macario, 8","Los Rosales, Madrid","Calle San Macario, 8",Calle San Macario,2.0,False,,,False,False,True,no indicado,False,False
510,510.0,21232.0,88.0,3.0,1.0,609.0,116000.0,1318.0,Piso en venta en calle de Lubian,"San Andrés, Madrid",Calle de Lubian,Calle de Lubian,,True,,,False,False,True,en trámite,True,False
511,511.0,21231.0,160.0,2.0,1.0,1094.0,260000.0,1625.0,"Ático en venta en calle del Arroyo Bueno, 4","San Andrés, Madrid","Calle del Arroyo Bueno, 4",Calle del Arroyo Bueno,5.0,False,,,False,True,True,no indicado,False,False
512,512.0,21230.0,60.0,2.0,1.0,535.0,99000.0,1650.0,Piso en venta en calle de Getafe,"San Andrés, Madrid",Calle de Getafe,Calle de Getafe,2.0,False,,,False,True,True,en trámite,True,False
513,513.0,21229.0,90.0,3.0,2.0,823.0,172000.0,1911.0,"Piso en venta en calle Transversal Sexta, 1","San Andrés, Madrid","Calle Transversal Sexta, 1",Calle Transversal Sexta,4.0,False,,,False,True,True,no indicado,False,False
514,514.0,21228.0,88.0,3.0,1.0,675.0,132260.0,1503.0,Piso en venta en paseo de Alberto Palacios,"San Andrés, Madrid",Paseo de Alberto Palacios,Paseo de Alberto Palacios,3.0,False,,,False,True,True,en trámite,True,False
515,515.0,21227.0,53.0,1.0,1.0,721.0,144000.0,2717.0,Ático en venta en calle de Juan José Martínez Seco,"Los Rosales, Madrid",Calle de Juan José Martínez Seco,Calle de Juan José Martínez Seco,3.0,False,,,False,True,True,G,True,False
516,516.0,21226.0,89.0,3.0,2.0,1024.0,235000.0,2640.0,"Piso en venta en calle Limonita, 5","Butarque, Madrid","Calle Limonita, 5",Calle Limonita,5.0,False,,,False,True,True,E,False,False
517,517.0,21225.0,119.0,3.0,2.0,1119.0,269000.0,2261.0,"Piso en venta en calle de Berrocal, 3","Butarque, Madrid","Calle de Berrocal, 3",Calle de Berrocal,3.0,False,,,False,True,True,en trámite,False,False
518,518.0,21224.0,65.0,3.0,1.0,526.0,97000.0,1492.0,Piso en venta en calle Alberto Palacios,"San Andrés, Madrid",Calle Alberto Palacios,Calle Alberto Palacios,3.0,False,,,False,False,True,en trámite,True,False
519,519.0,21223.0,120.0,4.0,2.0,827.0,173000.0,1442.0,"Piso en venta en plaza Pinazo, 14","San Cristóbal, Madrid","Plaza Pinazo, 14",Plaza Pinazo,1.0,False,,,False,True,True,en trámite,False,False
520,520.0,21222.0,85.0,3.0,1.0,706.0,140200.0,1649.0,Piso en venta en calle Miguel Solas,"Butarque, Madrid",Calle Miguel Solas,Calle Miguel Solas,4.0,False,,,False,False,True,no indicado,True,False
521,521.0,21221.0,110.0,2.0,2.0,994.0,225000.0,2045.0,"Piso en venta en avenida de los Rosales, 62","Butarque, Madrid","Avenida de los Rosales, 62",Avenida de los Rosales,2.0,False,,,False,True,True,no indicado,False,False
522,522.0,21220.0,116.0,3.0,2.0,1187.0,295000.0,2543.0,"Piso en venta en calle Grazia Deledda, 9","Los Rosales, Madrid","Calle Grazia Deledda, 9",Calle Grazia Deledda,5.0,False,,,False,True,True,en trámite,False,False
523,523.0,21219.0,80.0,3.0,1.0,686.0,135000.0,1688.0,"Piso en venta en calle de Juan Peñalver, 66","San Andrés, Madrid","Calle de Juan Peñalver, 66",Calle de Juan Peñalver,1.0,False,,,False,False,True,E,False,False
524,524.0,21218.0,115.0,3.0,2.0,1135.0,275000.0,2391.0,"Piso en venta en calle de Berrocal, 70","Butarque, Madrid","Calle de Berrocal, 70",Calle de Berrocal,6.0,False,,,False,True,True,en trámite,False,False
525,525.0,21217.0,114.0,4.0,2.0,1086.0,257000.0,2254.0,"Piso en venta en calle Huerta de Villaverde, 20","San Andrés, Madrid","Calle Huerta de Villaverde, 20",Calle Huerta de Villaverde,3.0,False,,,False,True,True,no indicado,False,False
526,526.0,21216.0,95.0,4.0,1.0,833.0,175000.0,1842.0,"Piso en venta en calle de la del Manojo de Rosas, 65 -69","Los Ángeles, Madrid","Calle de la del Manojo de Rosas, 65 -69",Calle de la del Manojo de Rosas,1.0,False,,,False,True,True,no indicado,False,False
527,527.0,21215.0,110.0,3.0,2.0,1135.0,274999.0,2500.0,"Piso en venta en calle de Berrocal, 70","Butarque, Madrid","Calle de Berrocal, 70",Calle de Berrocal,6.0,False,,,False,True,True,en trámite,False,False
528,528.0,21214.0,70.0,2.0,1.0,731.0,146750.0,2096.0,"Piso en venta en calle de Domingo Párraga, 4","San Andrés, Madrid","Calle de Domingo Párraga, 4",Calle de Domingo Párraga,3.0,False,,,False,True,True,en trámite,False,False
